PUML Macro (Name),PUML IMPORT
AWSConfig,!include <aws/ManagementTools/AWSConfig/AWSConfig>
AWSManagedServices,!include <aws/ManagementTools/AWSManagedServices/AWSManagedServices>
AWSOpsWorks,!include <aws/ManagementTools/AWSOpsWorks/AWSOpsWorks>
apps,!include <aws/ManagementTools/AWSOpsWorks/apps/apps>
deployments,!include <aws/ManagementTools/AWSOpsWorks/deployments/deployments>
layers,!include <aws/ManagementTools/AWSOpsWorks/layers/layers>
monitoring,!include <aws/ManagementTools/AWSOpsWorks/monitoring/monitoring>
permissions,!include <aws/ManagementTools/AWSOpsWorks/permissions/permissions>
resources,!include <aws/ManagementTools/AWSOpsWorks/resources/resources>
AWSServiceCatalog,!include <aws/ManagementTools/AWSServiceCatalog/AWSServiceCatalog>
AWSTrustedAdvisor,!include <aws/ManagementTools/AWSTrustedAdvisor/AWSTrustedAdvisor>
checklist,!include <aws/ManagementTools/AWSTrustedAdvisor/checklist/checklist>
checklistcost,!include <aws/ManagementTools/AWSTrustedAdvisor/checklistcost/checklistcost>
checklistfaulttolerance,!include <aws/ManagementTools/AWSTrustedAdvisor/checklistfaulttolerance/checklistfaulttolerance>
checklistperformance,!include <aws/ManagementTools/AWSTrustedAdvisor/checklistperformance/checklistperformance>
checklistsecurity,!include <aws/ManagementTools/AWSTrustedAdvisor/checklistsecurity/checklistsecurity>
AmazonPinpoint,!include <aws/Messaging/AmazonPinpoint/AmazonPinpoint>
AmazonSES,!include <aws/Messaging/AmazonSES/AmazonSES>
email,!include <aws/Messaging/AmazonSES/email/email>
AmazonSNS,!include <aws/Messaging/AmazonSNS/AmazonSNS>
emailnotification,!include <aws/Messaging/AmazonSNS/emailnotification/emailnotification>
HTTPnotification,!include <aws/Messaging/AmazonSNS/HTTPnotification/HTTPnotification>
AmazonSQS,!include <aws/Messaging/AmazonSQS/AmazonSQS>
message,!include <aws/Messaging/AmazonSQS/message/message>
queue,!include <aws/Messaging/AmazonSQS/queue/queue>
AWSApplicationDiscoveryService,!include <aws/Migration/AWSApplicationDiscoveryService/AWSApplicationDiscoveryService>
databasemigrationworkflow_job,!include <aws/Migration/AWSDMS/databasemigrationworkflow_job/databasemigrationworkflow_job>
AWSMigrationHub,!include <aws/Migration/AWSMigrationHub/AWSMigrationHub>
AWSSMS,!include <aws/Migration/AWSSMS/AWSSMS>
AWSSnowball,!include <aws/Migration/AWSSnowball/AWSSnowball>
importexport,!include <aws/Migration/AWSSnowball/importexport/importexport>
AmazonCognito,!include <aws/MobileServices/AmazonCognito/AmazonCognito>
AmazonMobileAnalytics,!include <aws/MobileServices/AmazonMobileAnalytics/AmazonMobileAnalytics>
AWSDeviceFarm,!include <aws/MobileServices/AWSDeviceFarm/AWSDeviceFarm>
AWSMobileHub,!include <aws/MobileServices/AWSMobileHub/AWSMobileHub>
AmazonCloudFront,!include <aws/NetworkingContentDelivery/AmazonCloudFront/AmazonCloudFront>
downloaddistribution,!include <aws/NetworkingContentDelivery/AmazonCloudFront/downloaddistribution/downloaddistribution>
edgelocation,!include <aws/NetworkingContentDelivery/AmazonCloudFront/edgelocation/edgelocation>
streamingdistribution,!include <aws/NetworkingContentDelivery/AmazonCloudFront/streamingdistribution/streamingdistribution>
AmazonRoute53,!include <aws/NetworkingContentDelivery/AmazonRoute53/AmazonRoute53>
hostedzone,!include <aws/NetworkingContentDelivery/AmazonRoute53/hostedzone/hostedzone>
routetable,!include <aws/NetworkingContentDelivery/AmazonRoute53/routetable/routetable>
internetgateway,!include <aws/NetworkingContentDelivery/AmazonVPC/internetgateway/internetgateway>
AWSDirectConnect,!include <aws/NetworkingContentDelivery/AWSDirectConnect/AWSDirectConnect>
ClassicLoadBalancer,!include <aws/NetworkingContentDelivery/ElasticLoadBalancing/ClassicLoadBalancer/ClassicLoadBalancer>
