PUML Macro (Name),PUML IMPORT
AzureIoTEdge,!include <azure/InternetOfThings/AzureIoTEdge>
AzureIoTHub,!include <azure/InternetOfThings/AzureIoTHub>
AzureMaps,!include <azure/InternetOfThings/AzureMaps>
AzureTimeSeriesDataSet,!include <azure/InternetOfThings/AzureTimeSeriesDataSet>
AzureTimeSeriesInsights,!include <azure/InternetOfThings/AzureTimeSeriesInsights>
AzureTimeSeriesInsightsAccessPolicy,!include <azure/InternetOfThings/AzureTimeSeriesInsightsAccessPolicy>
AzureTimeSeriesInsightsEnvironment,!include <azure/InternetOfThings/AzureTimeSeriesInsightsEnvironment>
AzureTimeSeriesInsightsEventSource,!include <azure/InternetOfThings/AzureTimeSeriesInsightsEventSource>
AzureIntune,!include <azure/Intune/AzureIntune>
AzureIntuneApple,!include <azure/Intune/AzureIntuneApple>
AzureIntuneGoogle,!include <azure/Intune/AzureIntuneGoogle>
AzureIntuneWindows,!include <azure/Intune/AzureIntuneWindows>
AppConfiguration,!include <azure/Management/AppConfiguration>
AzureArc,!include <azure/Management/AzureArc>
AzureArcMachine,!include <azure/Management/AzureArcMachine>
AzureAutomation,!include <azure/Management/AzureAutomation>
AzureBackup,!include <azure/Management/AzureBackup>
AzureBlueprints,!include <azure/Management/AzureBlueprints>
AzureCompliance,!include <azure/Management/AzureCompliance>
AzureCostAlert,!include <azure/Management/AzureCostAlert>
AzureCostAnalysis,!include <azure/Management/AzureCostAnalysis>
AzureCostBudget,!include <azure/Management/AzureCostBudget>
AzureCostManagement,!include <azure/Management/AzureCostManagement>
AzureCostManagementAndBilling,!include <azure/Management/AzureCostManagementAndBilling>
AzureGeoRecovery,!include <azure/Management/AzureGeoRecovery>
AzureLighthouse,!include <azure/Management/AzureLighthouse>
AzureLogAnalytics,!include <azure/Management/AzureLogAnalytics>
AzureManagedApplicationCenter,!include <azure/Management/AzureManagedApplicationCenter>
AzureManagedApplications,!include <azure/Management/AzureManagedApplications>
AzureManagementGroups,!include <azure/Management/AzureManagementGroups>
AzureManagementPortal,!include <azure/Management/AzureManagementPortal>
AzureMetrics,!include <azure/Management/AzureMetrics>
AzureMonitor,!include <azure/Management/AzureMonitor>
AzurePolicy,!include <azure/Management/AzurePolicy>
AzureRecoveryServiceVault,!include <azure/Management/AzureRecoveryServiceVault>
AzureResourceGraphExplorer,!include <azure/Management/AzureResourceGraphExplorer>
AzureResourceGroupList,!include <azure/Management/AzureResourceGroupList>
AzureResourceGroups,!include <azure/Management/AzureResourceGroups>
AzureResourceLinked,!include <azure/Management/AzureResourceLinked>
AzureScheduler,!include <azure/Management/AzureScheduler>
AzureSiteRecovery,!include <azure/Management/AzureSiteRecovery>
AzureSolutions,!include <azure/Management/AzureSolutions>
AzureSubscription,!include <azure/Management/AzureSubscription>
AzureTag,!include <azure/Management/AzureTag>
AzureUserPrivacy,!include <azure/Management/AzureUserPrivacy>
AzureMedia,!include <azure/Media/AzureMedia>
AzureMediaFile,!include <azure/Media/AzureMediaFile>
AzureMediaServices,!include <azure/Media/AzureMediaServices>
AzureDataBoxEdge,!include <azure/Migrate/AzureDataBoxEdge>
AzureMigrate,!include <azure/Migrate/AzureMigrate>
AzureMobileApp,!include <azure/Mobile/AzureMobileApp>
AzureMobileEngagement,!include <azure/Mobile/AzureMobileEngagement>
AzureNotificationHub,!include <azure/Mobile/AzureNotificationHub>
AzureNotificationHubNamespace,!include <azure/Mobile/AzureNotificationHubNamespace>
AzureNotificationHubs,!include <azure/Mobile/AzureNotificationHubs>
AzureApplicationGateway,!include <azure/Networking/AzureApplicationGateway>
AzureAzureDDoSProtection,!include <azure/Networking/AzureAzureDDoSProtection>
AzureBastion,!include <azure/Networking/AzureBastion>
AzureCDNProfile,!include <azure/Networking/AzureCDNProfile>
AzureDNS,!include <azure/Networking/AzureDNS>
AzureDNSServer,!include <azure/Networking/AzureDNSServer>
AzureExpressRoute,!include <azure/Networking/AzureExpressRoute>
AzureExpressRouteCircuit,!include <azure/Networking/AzureExpressRouteCircuit>
AzureExpressRouteDirect,!include <azure/Networking/AzureExpressRouteDirect>
AzureFirewall,!include <azure/Networking/AzureFirewall>
AzureFirewallManager,!include <azure/Networking/AzureFirewallManager>
AzureFrontDoor,!include <azure/Networking/AzureFrontDoor>
AzureFrontDoorService,!include <azure/Networking/AzureFrontDoorService>
AzureIPAddressSpace,!include <azure/Networking/AzureIPAddressSpace>
AzureIPGroups,!include <azure/Networking/AzureIPGroups>
AzureLoadBalancer,!include <azure/Networking/AzureLoadBalancer>
AzureNAT,!include <azure/Networking/AzureNAT>
AzureNetworkInterface,!include <azure/Networking/AzureNetworkInterface>
AzureNSG,!include <azure/Networking/AzureNSG>
AzurePrivateLink,!include <azure/Networking/AzurePrivateLink>
AzurePrivateLinkHub,!include <azure/Networking/AzurePrivateLinkHub>
AzurePrivateLinkService,!include <azure/Networking/AzurePrivateLinkService>
AzurePublicIPAddress,!include <azure/Networking/AzurePublicIPAddress>
AzurePublicIPAddressClassic,!include <azure/Networking/AzurePublicIPAddressClassic>
AzurePublicIPPrefix,!include <azure/Networking/AzurePublicIPPrefix>
AzureRouteFilter,!include <azure/Networking/AzureRouteFilter>
AzureRouteTable,!include <azure/Networking/AzureRouteTable>
AzureServiceEndpoint,!include <azure/Networking/AzureServiceEndpoint>
AzureServiceEndpointPolicy,!include <azure/Networking/AzureServiceEndpointPolicy>
AzureSubnet,!include <azure/Networking/AzureSubnet>
AzureTrafficManager,!include <azure/Networking/AzureTrafficManager>
AzureVirtualNetwork,!include <azure/Networking/AzureVirtualNetwork>
AzureVirtualNetworkPeering,!include <azure/Networking/AzureVirtualNetworkPeering>
AzureVirtualWAN,!include <azure/Networking/AzureVirtualWAN>
AzureVPNGateway,!include <azure/Networking/AzureVPNGateway>
AzureWAFPolicies,!include <azure/Networking/AzureWAFPolicies>
AzureAccessControl,!include <azure/Security/AzureAccessControl>
AzureApplicationSecurityGroup,!include <azure/Security/AzureApplicationSecurityGroup>
AzureConditionalAccess,!include <azure/Security/AzureConditionalAccess>
AzureDefender,!include <azure/Security/AzureDefender>
AzureKeyVault,!include <azure/Security/AzureKeyVault>
AzureSecurityCenter,!include <azure/Security/AzureSecurityCenter>
AzureSentinel,!include <azure/Security/AzureSentinel>
AzureStack,!include <azure/Stack/AzureStack>
AzureStackCapacity,!include <azure/Stack/AzureStackCapacity>
AzureStackInfrastructureBackup,!include <azure/Stack/AzureStackInfrastructureBackup>
AzureStackMultiTenancy,!include <azure/Stack/AzureStackMultiTenancy>
AzureStackOffer,!include <azure/Stack/AzureStackOffer>
AzureStackPlan,!include <azure/Stack/AzureStackPlan>
AzureStackUpdate,!include <azure/Stack/AzureStackUpdate>
AzureStackUserSubscription,!include <azure/Stack/AzureStackUserSubscription>
AzureBlobStorage,!include <azure/Storage/AzureBlobStorage>
AzureDataBox,!include <azure/Storage/AzureDataBox>
AzureDataLakeStorage,!include <azure/Storage/AzureDataLakeStorage>
AzureDiskStorage,!include <azure/Storage/AzureDiskStorage>
AzureDiskStorageClassic,!include <azure/Storage/AzureDiskStorageClassic>
AzureFileStorage,!include <azure/Storage/AzureFileStorage>
AzureManagedDisks,!include <azure/Storage/AzureManagedDisks>
AzureNetAppFiles,!include <azure/Storage/AzureNetAppFiles>
AzureQueueStorage,!include <azure/Storage/AzureQueueStorage>
